nccl_dtype,num_gpus,message_size,kernel_source,op_name,latency
int8,16,512,NCCL,all_reduce,0.09324
int8,16,1024,NCCL,all_reduce,0.09494
int8,16,2048,NCCL,all_reduce,0.09590000000000001
int8,16,4096,NCCL,all_reduce,0.09759999999999999
int8,16,8192,NCCL,all_reduce,0.09828
int8,16,16384,NCCL,all_reduce,0.09884000000000001
int8,16,32768,NCCL,all_reduce,0.10052
int8,16,65536,NCCL,all_reduce,0.10558000000000001
int8,16,131072,NCCL,all_reduce,0.10616
int8,16,262144,NCCL,all_reduce,0.1065
int8,16,524288,NCCL,all_reduce,0.10678
int8,16,1048576,NCCL,all_reduce,0.10836
int8,16,2097152,NCCL,all_reduce,0.11204000000000001
int8,16,4194304,NCCL,all_reduce,0.14074
int8,16,8388608,NCCL,all_reduce,0.2174
int8,16,16777216,NCCL,all_reduce,0.225
int8,16,33554432,NCCL,all_reduce,0.3472
int8,16,67108864,NCCL,all_reduce,0.5938
int8,16,134217728,NCCL,all_reduce,1.0168
int8,16,268435456,NCCL,all_reduce,1.5695999999999999
int8,16,536870912,NCCL,all_reduce,3.1162
int8,16,1073741824,NCCL,all_reduce,6.12
int8,16,2147483648,NCCL,all_reduce,12.0176
int8,16,4294967296,NCCL,all_reduce,23.77
int8,16,8589934592,NCCL,all_reduce,47.294000000000004
half,32,128,NCCL,all_reduce,0.10102
half,32,256,NCCL,all_reduce,0.10058
half,32,512,NCCL,all_reduce,0.10064000000000001
half,32,1024,NCCL,all_reduce,0.10114000000000001
half,32,2048,NCCL,all_reduce,0.09952
half,32,4096,NCCL,all_reduce,0.09988
half,32,8192,NCCL,all_reduce,0.10238
half,32,16384,NCCL,all_reduce,0.10244
half,32,32768,NCCL,all_reduce,0.1087
half,32,65536,NCCL,all_reduce,0.11137999999999999
half,32,131072,NCCL,all_reduce,0.11608
half,32,262144,NCCL,all_reduce,0.12492
half,32,524288,NCCL,all_reduce,0.12672
half,32,1048576,NCCL,all_reduce,0.13130000000000003
half,32,2097152,NCCL,all_reduce,0.14042
half,32,4194304,NCCL,all_reduce,0.17852
half,32,8388608,NCCL,all_reduce,0.2712
half,32,16777216,NCCL,all_reduce,0.42360000000000003
half,32,33554432,NCCL,all_reduce,0.6852
half,32,67108864,NCCL,all_reduce,1.0575999999999999
half,32,134217728,NCCL,all_reduce,1.709
half,32,268435456,NCCL,all_reduce,3.3922
half,32,536870912,NCCL,all_reduce,5.872
half,32,1073741824,NCCL,all_reduce,10.2884
half,32,2147483648,NCCL,all_reduce,19.2686
half,32,4294967296,NCCL,all_reduce,38.568
int8,32,256,NCCL,all_reduce,0.17286
int8,32,512,NCCL,all_reduce,0.17688
int8,32,1024,NCCL,all_reduce,0.17958000000000002
int8,32,2048,NCCL,all_reduce,0.1821
int8,32,4096,NCCL,all_reduce,0.18468
int8,32,8192,NCCL,all_reduce,0.18852000000000002
int8,32,16384,NCCL,all_reduce,0.1899
int8,32,32768,NCCL,all_reduce,0.19090000000000001
int8,32,65536,NCCL,all_reduce,0.19276
int8,32,131072,NCCL,all_reduce,0.19908
int8,32,262144,NCCL,all_reduce,0.2002
int8,32,524288,NCCL,all_reduce,0.2018
int8,32,1048576,NCCL,all_reduce,0.2034
int8,32,2097152,NCCL,all_reduce,0.20700000000000002
int8,32,4194304,NCCL,all_reduce,0.2104
int8,32,8388608,NCCL,all_reduce,0.268
int8,32,16777216,NCCL,all_reduce,0.426
int8,32,33554432,NCCL,all_reduce,0.42860000000000004
int8,32,67108864,NCCL,all_reduce,0.6808
int8,32,134217728,NCCL,all_reduce,1.1554000000000002
int8,32,268435456,NCCL,all_reduce,2.0236
int8,32,536870912,NCCL,all_reduce,3.153
int8,32,1073741824,NCCL,all_reduce,6.2736
int8,32,2147483648,NCCL,all_reduce,12.4236
int8,32,4294967296,NCCL,all_reduce,24.506
int8,32,8589934592,NCCL,all_reduce,48.622
half,48,128,NCCL,all_reduce,0.10116
half,48,256,NCCL,all_reduce,0.10128000000000001
half,48,512,NCCL,all_reduce,0.10104
half,48,1024,NCCL,all_reduce,0.10104
half,48,2048,NCCL,all_reduce,0.10022
half,48,4096,NCCL,all_reduce,0.1
half,48,8192,NCCL,all_reduce,0.10288
half,48,16384,NCCL,all_reduce,0.10366
half,48,32768,NCCL,all_reduce,0.10958
half,48,65536,NCCL,all_reduce,0.11336
half,48,131072,NCCL,all_reduce,0.12112
half,48,262144,NCCL,all_reduce,0.13476
half,48,524288,NCCL,all_reduce,0.13722
half,48,1048576,NCCL,all_reduce,0.14116
half,48,2097152,NCCL,all_reduce,0.15188
